cik,name,sic,moodys_methodology,sp_sector,methodology_confidence,methodology_source,is_financial,notes,classifier_commit
0001065059,CENTRUS ENERGY CORP,1400,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001065280,NETFLIX INC,7841,Media,Media And Entertainment,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001070423,PLAINS ALL AMERICAN PIPELINE LP,4610,Midstream Energy,Midstream Energy,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001086600,ALLIANCE RESOURCE PARTNERS LP,1221,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001116132,"TAPESTRY, INC.",3100,Retail and Apparel,Consumer Durables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001124198,FLUOR CORP,1600,Construction,Engineering And Construction,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001164727,NEWMONT Corp /DE/,1040,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001171486,NATURAL RESOURCE PARTNERS LP,1221,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001201792,AMERICAN PUBLIC EDUCATION INC,8200,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001227654,COMPASS MINERALS INTERNATIONAL INC,1400,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001290677,"Turning Point Brands, Inc.",2100,Consumer Packaged Goods,Consumer Staples And Branded Nondurables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001315257,Koppers Holdings Inc.,2400,Paper and Forest Products,Forest And Paper Products,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001319161,Warner Music Group Corp.,7900,Gaming,Leisure And Sports,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001326380,GameStop Corp.,5734,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001333986,"Equitable Holdings, Inc.",6411,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001335258,"Live Nation Entertainment, Inc.",7900,Gaming,Leisure And Sports,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001345016,YELP INC,7200,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001370946,Owens Corning,3290,Building Materials,Building Materials,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001385280,"Cinemark Holdings, Inc.",7830,Media,Media And Entertainment,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001411579,"AMC ENTERTAINMENT HOLDINGS, INC.",7830,Media,Media And Entertainment,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001413329,Philip Morris International Inc.,2111,Consumer Packaged Goods,Consumer Staples And Branded Nondurables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001437578,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,8351,Business and Consumer Services,Business And Consumer Services,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001502034,"GNC HOLDINGS, INC.",5400,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001519751,"Fortune Brands Innovations, Inc.",2430,Paper and Forest Products,Forest And Paper Products,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001528849,RH,5712,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001552000,MPLX LP,4610,Midstream Energy,Midstream Energy,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001552797,"Delek Logistics Partners, LP",4610,Midstream Energy,Midstream Energy,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001575515,"Sprouts Farmers Market, Inc.",5411,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001610682,USD Partners LP,4013,Surface Transportation and Logistics,"Railroad, Package Express, And Logistics",medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001633931,TopBuild Corp,1700,Construction,Engineering And Construction,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001646972,"Albertsons Companies, Inc.",5411,Retail and Apparel,Retail And Restaurants,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001670592,"YETI Holdings, Inc.",3949,Consumer Packaged Goods,Consumer Durables,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001674335,"JELD-WEN Holding, Inc.",2430,Paper and Forest Products,Forest And Paper Products,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001691303,"WARRIOR MET COAL, INC.",1220,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001704715,"Alpha Metallurgical Resources, Inc.",1221,Mining,Mining,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001726978,"Goosehead Insurance, Inc.",6411,Insurers,Insurers (Insurance criteria),medium,sic_table,True,Financial-sector issuer (SIC 60–67): industrial corporate scorecard does not apply; route to the FIG/Insurance framework.,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001755672,"Corteva, Inc.",0100,Protein and Agriculture,"Agribusiness, Commodity Foods, And Agricultural Cooperatives",medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
0001915657,HF Sinclair Corp,4610,Midstream Energy,Midstream Energy,medium,sic_table,False,,ed5ae6973ecf46bfca236a0a88676a3e6396594c
